DLCFile;Cage id;Animal Number;Sex;Group ;Box Number;VideoFile;Experiment;VisibleMarbles
MBT1-M1DLC_resnet50_OFFICIALFRAMEOFTMay12shuffle1_1030000.csv;509389;1;F;YOH;1;MBT1-M1.mp4;MBTY;17
MBT1-M2DLC_resnet50_OFFICIALFRAMEOFTMay12shuffle1_1030000.csv;509398;2;F;Ctrl;2;MBT1-M2.mp4;MBTY;4
MBT1-M3DLC_resnet50_OFFICIALFRAMEOFTMay12shuffle1_1030000.csv;509391;3;F;Ctrl;1;MBT1-M3.mp4;MBTY;4
MBT1-M4DLC_resnet50_OFFICIALFRAMEOFTMay12shuffle1_1030000.csv;509404;4;F;YOH;2;MBT1-M4.mp4;MBTY;19
MBT1-M5DLC_resnet50_OFFICIALFRAMEOFTMay12shuffle1_1030000.csv;509384;5;F;YOH;1;MBT1-M5.mp4;MBTY;19
MBT1-M6DLC_resnet50_OFFICIALFRAMEOFTMay12shuffle1_1030000.csv;509371;6;F;Ctrl;2;MBT1-M6.mp4;MBTY;1
MBT1-M7DLC_resnet50_OFFICIALFRAMEOFTMay12shuffle1_1030000.csv;509371;7;F;Ctrl;1;MBT1-M7.mp4;MBTY;3
MBT1-M8DLC_resnet50_OFFICIALFRAMEOFTMay12shuffle1_1030000.csv;509398;8;F;YOH;2;MBT1-M8.mp4;MBTY;20
MBT1-M9DLC_resnet50_OFFICIALFRAMEOFTMay12shuffle1_1030000.csv;509384;9;F;YOH;1;MBT1-M9.mp4;MBTY;16
MBT1-M10DLC_resnet50_OFFICIALFRAMEOFTMay12shuffle1_1030000.csv;509404;10;F;Ctrl;2;MBT1-M10.mp4;MBTY;4
MBT1-M11DLC_resnet50_OFFICIALFRAMEOFTMay12shuffle1_1030000.csv;509389;11;F;Ctrl;1;MBT1-M11.mp4;MBTY;2
MBT1-M12DLC_resnet50_OFFICIALFRAMEOFTMay12shuffle1_1030000.csv;509391;12;F;YOH;2;MBT1-M12.mp4;MBTY;15
MBT1-M13DLC_resnet50_OFFICIALFRAMEOFTMay12shuffle1_1030000.csv;509371;13;F;YOH;1;MBT1-M13.mp4;MBTY;13
MBT1-M14DLC_resnet50_OFFICIALFRAMEOFTMay12shuffle1_1030000.csv;509398;14;F;Ctrl;2;MBT1-M14.mp4;MBTY;2
MBT1-M15DLC_resnet50_OFFICIALFRAMEOFTMay12shuffle1_1030000.csv;509384;15;F;Ctrl;1;MBT1-M15.mp4;MBTY;5
MBT1-M16DLC_resnet50_OFFICIALFRAMEOFTMay12shuffle1_1030000.csv;509398;16;F;YOH;2;MBT1-M16.mp4;MBTY;20
MBT1-M17DLC_resnet50_OFFICIALFRAMEOFTMay12shuffle1_1030000.csv;509391;17;F;YOH;1;MBT1-M17.mp4;MBTY;19
MBT1-M18DLC_resnet50_OFFICIALFRAMEOFTMay12shuffle1_1030000.csv;509404;18;F;Ctrl;2;MBT1-M18.mp4;MBTY;0
MBT1-M19DLC_resnet50_OFFICIALFRAMEOFTMay12shuffle1_1030000.csv;509371;19;F;YOH;1;MBT1-M19.mp4;MBTY;18
