Animal ID;DLC file;Group;Dosage
16459-67049;02052023_001_16459-67049DLC_resnet50_RocheNetworkOmnitechLMAJan2shuffle1_1030000.csv;Control;0
16459-67053;02052023_001_16459-67053DLC_resnet50_RocheNetworkOmnitechLMAJan2shuffle1_1030000.csv;Control;0
16459-67060;02052023_001_16459-67060DLC_resnet50_RocheNetworkOmnitechLMAJan2shuffle1_1030000.csv;Control;0
16459-67064;02052023_001_16459-67064DLC_resnet50_RocheNetworkOmnitechLMAJan2shuffle1_1030000.csv;Control;0
16459-67067;02052023_001_16459-67067DLC_resnet50_RocheNetworkOmnitechLMAJan2shuffle1_1030000.csv;Control;0
16459-67071;02052023_001_16459-67071DLC_resnet50_RocheNetworkOmnitechLMAJan2shuffle1_1030000.csv;Control;0
16459-67074;02052023_001_16459-67074DLC_resnet50_RocheNetworkOmnitechLMAJan2shuffle1_1030000.csv;Control;0
16459-67078;02052023_001_16459-67078DLC_resnet50_RocheNetworkOmnitechLMAJan2shuffle1_1030000.csv;Control;0
16459-67050;02052023_001_16459-67050DLC_resnet50_RocheNetworkOmnitechLMAJan2shuffle1_1030000.csv;Yohimbine;1
16459-67054;02052023_001_16459-67054DLC_resnet50_RocheNetworkOmnitechLMAJan2shuffle1_1030000.csv;Yohimbine;1
16459-67057;02052023_001_16459-67057DLC_resnet50_RocheNetworkOmnitechLMAJan2shuffle1_1030000.csv;Yohimbine;1
16459-67061;02052023_001_16459-67061DLC_resnet50_RocheNetworkOmnitechLMAJan2shuffle1_1030000.csv;Yohimbine;1
16459-67068;02052023_001_16459-67068DLC_resnet50_RocheNetworkOmnitechLMAJan2shuffle1_1030000.csv;Yohimbine;1
16459-67072;02052023_001_16459-67072DLC_resnet50_RocheNetworkOmnitechLMAJan2shuffle1_1030000.csv;Yohimbine;1
16459-67075;02052023_001_16459-67075DLC_resnet50_RocheNetworkOmnitechLMAJan2shuffle1_1030000.csv;Yohimbine;1
16459-67079;02052023_001_16459-67079DLC_resnet50_RocheNetworkOmnitechLMAJan2shuffle1_1030000.csv;Yohimbine;1
16459-67051;02052023_001_16459-67051DLC_resnet50_RocheNetworkOmnitechLMAJan2shuffle1_1030000.csv;Yohimbine;3
16459-67055;02052023_001_16459-67055DLC_resnet50_RocheNetworkOmnitechLMAJan2shuffle1_1030000.csv;Yohimbine;3
16459-67058;02052023_001_16459-67058DLC_resnet50_RocheNetworkOmnitechLMAJan2shuffle1_1030000.csv;Yohimbine;3
16459-67062;02052023_001_16459-67062DLC_resnet50_RocheNetworkOmnitechLMAJan2shuffle1_1030000.csv;Yohimbine;3
16459-67065;02052023_001_16459-67065DLC_resnet50_RocheNetworkOmnitechLMAJan2shuffle1_1030000.csv;Yohimbine;3
16459-67069;02052023_001_16459-67069DLC_resnet50_RocheNetworkOmnitechLMAJan2shuffle1_1030000.csv;Yohimbine;3
16459-67076;02052023_001_16459-67076DLC_resnet50_RocheNetworkOmnitechLMAJan2shuffle1_1030000.csv;Yohimbine;3
16459-67080;02052023_001_16459-67080DLC_resnet50_RocheNetworkOmnitechLMAJan2shuffle1_1030000.csv;Yohimbine;3
16459-67052;02052023_001_16459-67052DLC_resnet50_RocheNetworkOmnitechLMAJan2shuffle1_1030000.csv;Yohimbine;6
16459-67056;02052023_001_16459-67056DLC_resnet50_RocheNetworkOmnitechLMAJan2shuffle1_1030000.csv;Yohimbine;6
16459-67059;02052023_001_16459-67059DLC_resnet50_RocheNetworkOmnitechLMAJan2shuffle1_1030000.csv;Yohimbine;6
16459-67063;02052023_001_16459-67063DLC_resnet50_RocheNetworkOmnitechLMAJan2shuffle1_1030000.csv;Yohimbine;6
16459-67066;02052023_001_16459-67066DLC_resnet50_RocheNetworkOmnitechLMAJan2shuffle1_1030000.csv;Yohimbine;6
16459-67070;02052023_001_16459-67070DLC_resnet50_RocheNetworkOmnitechLMAJan2shuffle1_1030000.csv;Yohimbine;6
16459-67073;02052023_001_16459-67073DLC_resnet50_RocheNetworkOmnitechLMAJan2shuffle1_1030000.csv;Yohimbine;6
16459-67077;02052023_001_16459-67077DLC_resnet50_RocheNetworkOmnitechLMAJan2shuffle1_1030000.csv;Yohimbine;6
